Year,Stage,away_team,date,home_team,home_result,away_result,winner
2014,Group H,Belgium,26/06/2014 17:00,"Korea, South",0,1,Belgium
2014,Group H,Russia,26/06/2014 17:00,Algeria,1,1,draw
2014,Round of 16,Chile,28/06/2014 13:00,Brazil,1,1,Brazil 
2014,Round of 16,Uruguay,28/06/2014 17:00,Colombia,2,0,Colombia
2014,Round of 16,Nigeria,30/06/2014 13:00,France,2,0,France
2014,Round of 16,Algeria,30/06/2014 17:00,Germany,2,1,Germany 
2014,Quarter-finals,Colombia,4/07/2014 17:00,Brazil,2,1,Brazil
2014,Quarter-finals,Germany,4/07/2014 13:00,France,0,1,Germany
2014,Semi-finals,Germany,8/07/2014 17:00,Brazil,1,7,Germany
2014,Third place,Netherlands,12/07/2014 17:00,Brazil,0,3,Netherlands
2014,Final,Argentina,13/07/2014 16:00,Germany,1,0,Germany 
2014,Semi-finals,Argentina,9/07/2014 17:00,Netherlands,0,0,Argentina 
2014,Quarter-finals,Costa Rica,5/07/2014 17:00,Netherlands,0,0,Netherlands 
2014,Quarter-finals,Belgium,5/07/2014 13:00,Argentina,1,0,Argentina
